Last Name,First Name,Address,Phone Number
Obama, Barack Hussein, 1600 Pennsylvania Ave, 2222222222
Biden, Joesph Robinette, No. 1 Observatory Circle, 1111111111
Holmes, Sherlock, 221B Baker St., 44+3333333333
Simpson, Homer Jay, 742 Evergreen Ter., 4445554444
Cameron, David, 10 Downing St., 44+55555555555
Bird, Big, 123 Sesame St., 66666666666
Poe, Edgar Allen, 203 N. Amity St., 77777777777
Lee, Robert Edward, Stone Mansion Ct., 8888888888
Jefferson, Thomas, 931 Thomas Jefferson Pkwy., 99999999999
Marx, Karl Heinrich, Brückenstraße 10, 49+00000000000
Bronstein, Lev Davidovich, Rio Churubusco 410 Del Carmen, 52+1234567890
